idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified,Ingredient,num_ingredientes,cluster,image_filename_x,image_path_x,image_filename_y,image_path_y,image_path
178331,Bounty Hunter,Cocktail,Alcoholic,Margarita glass,"Add the spirits into a shaker as well as the pineapple juice, strain into a Margarita glass. Top with Prosecco and garnish with Blueberries.",https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg,,,"['Rum', 'Coconut Liqueur', 'Blueberries', 'Pineapple Juice', 'Prosecco']",5,4.0,178331.jpg,cocktail_images/178331.jpg,178331.jpg,cocktail_images\178331.jpg,cocktail_images\178331.jpg
11391,Frozen Pineapple Daiquiri,Ordinary Drink,Alcoholic,Cocktail Glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,,2017-09-06 23:14:57,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']",4,3.0,11391.jpg,cocktail_images/11391.jpg,11391.jpg,cocktail_images\11391.jpg,cocktail_images\11391.jpg
17241,Zombie,Cocktail,Alcoholic,Hurricane glass,"Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.",https://www.thecocktaildb.com/images/media/drink/2en3jk1509557725.jpg,,2017-11-01 17:35:26,"['Rum', 'Gold rum', '151 proof rum', 'Pernod', 'Grenadine', 'Lime Juice', 'Angostura Bitters']",7,4.0,17241.jpg,cocktail_images/17241.jpg,17241.jpg,cocktail_images\17241.jpg,cocktail_images\17241.jpg
14608,Cream Soda,Cocktail,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,,2016-11-15 11:29:27,"['Spiced rum', 'Ginger ale']",2,4.0,14608.jpg,cocktail_images/14608.jpg,14608.jpg,cocktail_images\14608.jpg,cocktail_images\14608.jpg
17188,Mary Pickford,Cocktail,Alcoholic,Cocktail glass,Shake and strain into a chilled large cocktail glass,https://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,"IBA,Classic",2017-09-02 12:09:17,"['Light rum', 'Pineapple juice', 'Maraschino liqueur', 'Grenadine', 'Maraschino cherry']",5,4.0,17188.jpg,cocktail_images/17188.jpg,17188.jpg,cocktail_images\17188.jpg,cocktail_images\17188.jpg
12656,Banana Strawberry Shake,Shake,Non alcoholic,Highball Glass,Blend all together in a blender until smooth.,https://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,,2016-09-01 10:03:54,"['Strawberries', 'Banana', 'Yoghurt', 'Milk', 'Honey']",5,4.0,12656.jpg,cocktail_images/12656.jpg,12656.jpg,cocktail_images\12656.jpg,cocktail_images\12656.jpg
13162,Afternoon,Coffee / Tea,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,,2016-08-31 19:22:57,"['Kahlua', 'Baileys irish cream', 'Frangelico', 'Coffee', 'Cream']",5,4.0,13162.jpg,cocktail_images/13162.jpg,13162.jpg,cocktail_images\13162.jpg,cocktail_images\13162.jpg
17219,Yellow Bird,Cocktail,Alcoholic,Cocktail glass,Shake and strain into a chilled cocktail glass,https://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg,"IBA,NewEra",2017-09-02 18:53:31,"['White Rum', 'Galliano', 'Triple Sec', 'Lime Juice']",4,4.0,17219.jpg,cocktail_images/17219.jpg,17219.jpg,cocktail_images\17219.jpg,cocktail_images\17219.jpg
15511,Baby Eskimo,Shake,Alcoholic,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,,2016-09-01 09:57:07,"['Kahlua', 'Milk', 'Vanilla ice-cream']",3,4.0,15511.jpg,cocktail_images/15511.jpg,15511.jpg,cocktail_images\15511.jpg,cocktail_images\15511.jpg
14752,Kiwi Lemon,Ordinary Drink,Alcoholic,Highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,,2016-11-04 09:28:17,"['Kiwi liqueur', 'Bitter lemon', 'Ice']",3,4.0,14752.jpg,cocktail_images/14752.jpg,14752.jpg,cocktail_images\14752.jpg,cocktail_images\14752.jpg
